dlga_start:dialognotused|error
dlga_general_zasadzka:general_next_quest|Złe wieści przynosisz i źle rokujące na przyszłość, bowiem broń ta przeznaczona była nowym ochotnikom. Oby była to ostatnia klęska na naszej drodze ku niepodległości. 
dlga_start:zasadzka_end_dialog|Konwój został przejęty wraz z zapasami.
dlga_zasadzka_end_dialog:general_next_quest|To znakomita wieść! Z pewnością poprawi to morale moich ludzi i zachęci do wstępowania w nasze szeregi.
dlga_start:zlotomaruderowa|Widzę, że wróciłeś. Zatem powiedz z czym przychodzisz.
dlga_zlotomaruderowa:zlotomaruderowa_a|Melduję, iż siły dezerterów okazały się przeważające i mimo prób wszelakich ulegliśmy im. Oni natomiast uszli nie czekając naszego powtórnego ataku.
dlga_zlotomaruderowa_a:etap_2_end_check| Prędzej czy później dosięgnę ich. Wielka szkoda jednak pieniędzy zrabowanych, z pewnością byłyby dla nas znacznym wsparciem.
dlga_start:pzadanie6zakonczenie|Widzę, że wróciłeś. Zatem powiedz z czym przychodzisz.
dlga_start:qst_manifesty_end|Wygłosiłem manifesty w pobliskich karczmach.
dlga_qst_manifesty_end:priest_next_quest|Dobrą nowinę niesiesz mi {playername} i posługę lżejszą czynisz, bowiem nie do wszystkich dotrzeć mogę, a tak za twą sprawą światła myśl zawita pod każdą strzechę w okolicy!
dlga_start:qst_manifesty_end2|[PLACEHOLDER] Nie udało się.
dlga_qst_manifesty_end2:priest_next_quest|[PLACEHOLDER] No chyba se kpisz...
dlga_start:qst_dostarczbron2a|Jesteś nareszcie! Już zamartwiałem się, iż posłałem cię na zatracenie! Mów żywo, jakim torem sprawy poszły?
dlga_qst_dostarczbron2a:qst_dostarczbron2_end|Przynoszę dobrą wieść, bez przeszkód zaopatrzyłem powstańców w broń.
dlga_qst_dostarczbron2_end:priest_next_quest|Chwała niech będzie Najwyższemu! Wybornie sprawiłeś się {playername}. Oby dalej, oby jeszcze dalej.
dlga_start:qst_egzekucja_end_win|Zdołałem ocalić konspiratorów. Są cali i zdrowi.
dlga_qst_egzekucja_end_win:etap_2_end_check|Już przez myśl mi przeszło, iż mogą być straceni. Jednak ty nie mogłeś zawieść! Szczęśliwy los postawił cię na drodze mej.
dlga_start:qst_egzekucja_end_fail|Niestety nie zdołałem zapobiec egzekucji. Konspiratorzy zostali straceni.
dlga_qst_egzekucja_end_fail:etap_2_end_check|Bogu powierzmy w modlitwie ich dusze. Zły to dzień dla mnie i dla naszej sprawy.
dlga_etap_2_end_check:iietapidkk|To wszystko mój synu, nie ma nic więcej w czym mógłbyś mi być pomocą. Nie zapominajmy jednak, że są inni, którym znaczne mógłbyś oddać usługi.
dlga_iietapidkk:close_window|Słyszałem, iż w terenach górzystych nieopodal Budapesztu, organizują się oddziały powstańcze. Wyrusz zatem w tamte strony i wesprzyj ich swymi talentami. Bywaj z Bogiem.
dlga_etap_2_end_check:iietapidk|To wszystko w czym pomóc mi możesz {playername}. Ja wraz z oddziałem muszę przenieść obóz w dogodniejsze miejsce, ostatnimi czasy za dużo pojawiło się w okolicy patroli.
dlga_iietapidk:close_window|Ty tymczasem ruszaj dalej, ludzie donieśli mi, iż niedaleko Koszyc organizują się oddziały powstańcze. Bywaj.
dlga_etap_2_end_check:etap_2_koniec2|Czas jednak na ciebie {playername}. Niedawno posłaniec przybył z listem od Martinovicsa, odprawiłem go w kierunku Debreczyna, lecz jak widać rozminęliście się. 
dlga_etap_2_koniec2:etap_2_koniec3|Udaj się w tamtą stronę, z pewnością go dopędzisz. Ma dla ciebie ważne pismo.
dlga_etap_2_koniec3:close_window|Miej baczenie na siebie. Bywaj {playername}. 
dlga_event_triggered:general_patrol_first_meet|Stać! Gadaj prędko co żeś za jeden!
dlga_general_patrol_first_meet:general_patrol_first_meet2|Jeśliście dezerter, lub co gorsza szpieg, to rozkaz mamy egzekucję przeprowadzić. Tu i teraz, bez sądu.
dlga_general_patrol_first_meet2:general_patrol_first_meet3|Jestem {playername}, szlachcic z Rzeczpospolitej. 
dlga_general_patrol_first_meet3:close_window|Przybywam z rozkazu przywódcy konspiracji, Ignaca Martinovics'a.
dlga_start:priestguard_first_meet|Czego tu szuka? Nie wie, że to nie pora na wizyty? Jak do spowiedzi, to czeka w sieni na wieczorne nabożeństwo, a nie głowę zawraca. 
dlga_priestguard_first_meet:priestguard_first_meet2|Jestem {playername}, szlachcic i przyjaciel Ignaca Martinovica. Do księdza mam sprawę, politycznej wagi.
dlga_priestguard_first_meet2:priestguard_first_meet3|Matko Boska! Znów ci polityczni! ^Mówiłem proboszczowi, co by przepędzić was na cztery wiatry, biedy nam tylko napytacie, ot co. 
dlga_priestguard_first_meet3:close_window|Czego tu tak stoi? Niech wchodzi, skoro musi.
dlga_start:priest_first_meet|Kłaniam się, jestem {playername}, zaufany człowiek Martinovicsa.
dlga_priest_first_meet:priest_first_meet2|Martinovicsa? Pełen obaw jestem, słysząc to nazwisko.
dlga_priest_first_meet2:priest_first_meet3|Witam cię jednak synu, jakbyś był jednym z mych parafian. Jestem Ferenc Bartok, proboszcz tutejszy, oraz pierwszy egzorcysta w diecezji Koszyckiej, co nie bez dumy wyznaję. 
dlga_priest_first_meet3:priest_first_meet4|Skoro żeś od Martinovics, to wiem w jakim celu przybyłeś. Póki co, utrzymujmy, iż jesteś mym bratankiem i chorego wuja nawiedzasz w potrzebie, aby żywot uczynić mu lżejszym. 
dlga_priest_first_meet4:close_window|Co tyczy się tego ostatniego, nie rozminiesz się z prawdą i sumienie czystym zachowasz, bowiem przybyłeś właśnie w tym zbożnym celu. Przyjdź gdy będziesz gotów, wiele przed nami pracy. 
dlga_start:priest_quest|Pochwalony, widzę, iż gotów jesteś, tedy słuchaj.
dlga_priest_quest:qstmanifesty|Jak wiesz, trzeba nam przyciągnąć chłopów do powstania, jednak bez ogłoszenia swobód i przyobiecania im wolności, udać się to żadną miarą nie może. Weźmiesz manifest i wygłosisz w pobliskich karczmach.
dlga_qstmanifesty:close_window|Miej się jednak na baczność, w okolicy kręcą się wrogie patrole, a i carscy emisariusze nie próżnują. Wyrusz czym prędzej.
dlga_priest_quest:qstdostarczbron|Nie chwaląc się zanadto nie mało to owieczek z mej trzody wciągnąłem w walkę przeciw Habsburskiej tyranii. Wielu chłopów za mym słowem i wskazaniem sioła opuściło i ruszyło waz z ochotnikami, aby wieść roznosić i ludność do walki podrywać.
dlga_qstdostarczbron:qstdostarczbrona|Modlę się za nich codziennie i wiem, że Matka Boska i anieli w niebiosach nad nimi czuwają. Wiele to znaczy, jednak bez flinty czy szabli, baranków moich jednego po drugim wilcy poszarpią. 
dlga_qstdostarczbrona:close_window|Powieziesz im zatem broni, której nabyłem od przemytników i z niemałym wysiłkiem zgromadziłem tutaj. Miej jeno baczenie na patrole i wojsko, jakby ładunek odkryli pewnikiem będziesz zgubiony.
dlga_priest_quest:egzekucja_ii_p|We właściwym czasie przychodzisz, bowiem trzeba ci wiedzieć, iż trzech ludzi ważnych dla naszych dalszych planów zostało złapanych. Mają zostać wkrótce straceni w Debreczynie.
dlga_egzekucja_ii_p:close_window|Koniecznym jest więc, abyś ruszył czym prędzej i zapobiegł egzekucji. Niech najwyższy ma cię w swojej opiece!
dlga_start:general_first_meet|Czołem panie szlachcic. 
dlga_general_first_meet:general_first_meet2|Wybaczcie podejrzliwość ze strony moich ludzi, jednak już nie raz, i nie dwa, przysyłali tu szpiegów carscy.
dlga_general_first_meet2:general_first_meet3|Ha! Każdy jeden w końcu mi się przyznawał. Starczyło nieco węgli zagrzać i delikwenta usadzić nań. Ależ wesele mieliśmy, haha.
dlga_general_first_meet3:close_window|Ale wam wierzę, poznaję tę pieczęć i wiem, żeście Martinovics'a człowiek. Rozgośćcie się w obozie i gdy gotowi będziecie, oczekuję tu z rozkazami. 
dlga_start:qst_rozpoznanieogniem_end1|Jesteś nareszcie! Miałem już słać ludzi do Wiednia, aby sprawdzić czy nie zostałeś pojmany.
dlga_qst_rozpoznanieogniem_end1:qst_rozpoznanieogniem_end2|Co z emisariuszem? Żyw jest?
dlga_qst_rozpoznanieogniem_end2:qst_rozpoznanieogniem_end_good|Żyje jak podejrzewaliście, śledzili go. Zaatakowali gdy próbowaliśmy wymknąć się z miasta. Ani jednak jemu, ani mi nic się nie stało, tamtych za to solidnie poszczerbiliśmy. 
dlga_qst_rozpoznanieogniem_end_good:qst_rozpoznanieogniem_4|Dobra to dla nas nowina! ^ Ja jednak takiej nie mam dla ciebie {playername}. 
dlga_qst_rozpoznanieogniem_end2:qst_rozpoznanieogniem_end_fail|Mam złe wieści. Czekali na nas z zasadzką i zaatakowali gdy próbowaliśmy wymknąć się z miasta. Emisariusz zginął niestety w walce. 
dlga_qst_rozpoznanieogniem_end_fail:qst_rozpoznanieogniem_4|Zła to dla nas nowina, utraciliśmy kontakt w samym Wiedniu! Nic to jednak teraz, mam dla ciebie {playername} gorsze wieści.
dlga_qst_rozpoznanieogniem_4:qst_rozpoznanieogniem_5|Carscy  wiedzą już o udziale twoim w konspiracji, widać za tobą także posłali szpiega, tym bardziej, iż owego dnia w karczmie mocno pokrzyżowałeś im szyki, jak w liście nie omieszkał wspomnieć mi Niemcewicz.
dlga_qst_rozpoznanieogniem_5:qst_rozpoznanieogniem_6|Jesteś zatem w poważnym niebezpieczeństwie, możesz mieć na karku nie tylko habsburskich szpiegów, ale i rosyjskich. Jedno jest pewne, jeszcze dziś musisz opuścić Budapeszt. 
dlga_qst_rozpoznanieogniem_6:qst_rozpoznanieogniem_7|Dam ci list polecający do przywódców konspiracji w innych częściach kraju. Dowiodłeś już tutaj swyh zdolności, twa pomoc może okazać się bezcenna także dla nich.
dlga_qst_rozpoznanieogniem_7:close_window|Gotuj się do wyjazdu, im szybciej ruszysz tym lepiej. Mogą posłać ludzi twoim śladem. Bywaj {playername}.
dlga_start:close_window.5|Ruszaj czym prędzej {playername}, rozkazy nie mogą czekać.
dlga_start:general_quest|Jesteś wreszcie.
dlga_general_quest:general_patrol1|{playername}, zwiadowcy donieśli mi, że okolice pobliskiej wsi patroluje niewielki oddział wroga.
dlga_general_patrol1:general_patrol2|Znajdź ich i wybij do nogi, aby naszego obozu nie wypatrzyli i nie sprowadzili na nas więcej Rakusów.
dlga_general_patrol2:close_window|Za mało nas jeszcze, aby stawać przeciw wojsku. Wkrótce jednak zmieni się to i pomścimy nasze krzywdy!
dlga_general_quest:general_zasadzka1|Nasi ludzie nieopodal stąd zasadzkę rychtują, konwój z Pesztu jedzie do Debreczyna. Wiozą podobno broń i zapasy.
dlga_general_zasadzka1:close_window|Ruszajcie i wesprzyjcie ich. Nie możemy sobie pozwolić na zbyt duże straty, a ta żywność pomoże nam przetrwać.
dlga_general_quest:general_zlotomaruderow1|Ze wstydem muszę przyznać, że nie wszyscy ochotnicy okazują się tak oddanymi sprawie patriotami jak Ty {playername}. Niedawno kilku ludzi z mego oddziału zbiegło pod osłoną nocy, zabierając ze sobą broń i konie. 
dlga_general_zlotomaruderow1:general_zlotomaruderow2|Niegodziwcy, co gorsza, pieniądze skradli, które zdobyliśmy na komisarzu carskim wiozącym żołd dla jednego z pułków. 
dlga_general_zlotomaruderow2:close_window|Przypuszczam, iż zaszyli się gdzieś niedaleko. Znajdź ich, rozstrzelaj i postaraj się odebrać pieniędze.
dlga_start:ignac_first_meet|Czołem, jestem {playername}. Wyście jest natomiast Ignac Martinovics, jak mniemam?
dlga_ignac_first_meet:ignac_first_meet2|W rzeczy samej, witam. Twoje przybycie zostało mi zapowiedziane. Nie owijając w płótno, Niemcewicz anonsował waszmościa jako człowieka wielkich talentów, oraz co ważne, wybornego żołnierza, bez obaw stawającego nawet przeciw tuzinowi huzarów.
dlga_ignac_first_meet2:ignac_first_meet3|W to nie sposób uwierzyć, jestem jednak pewien, że możesz być nam przydatny wielce. Liczę, że wkrótce będziemy mieli okazję to sprawdzić.
dlga_ignac_first_meet3:close_window|Teraz możesz odejść, wróć gdy będziesz gotów do podjęcia rozkazów.
dlga_start:zniewaga_ok|Rywal waszmości uległ mi w pojedynku. Oddał ducha wkrótce po nim.
dlga_zniewaga_ok:martinovics_next_quest|Doprawdy?! Wieść to wyborna! Nie będzie więcej psuł nam szyków.
dlga_start:zniewaga_fail|Z przykrością stwierdzam, iż nie zdołałem pokonać waszmości rywala. Gad podstępem wygrał pojedynek!
dlga_zniewaga_fail:martinovics_next_quest|Sąd świadków był zgoła odmienny... Mniejsza jednak o to. Znajdę kogoś, kto lepiej upora się z tą misją.
dlga_start:close_window.6|Będę cię oczekiwał, przyjdź, gdy już będziesz gotowy.
dlga_start:ignac_quest|Jesteś już? Znakomicie.^ Słuchaj więc.
dlga_ignac_quest:general_rozpoznanieogniem1|Widzisz {playername}, rozesłaliśmy po kraju emisariuszy, aby szerzyli idee rewolucyjne wśród prostego ludu. Ostatnio dowiedziałem się jednak, iż jeden z naszych ludzi działający w Wiedniu jest pod baczną obserwacją wroga. Oznacza to, że w każdej chwili może zostać pojmany.
dlga_general_rozpoznanieogniem1:general_rozpoznanieogniem2|Żadną miarą nie możemy do tego dopuścić, udaj się zatem do Wiednia i dopomóż mu w ucieczce. Zamieszkuje na przedmieściach, na piętrze tamtejszego zamtuzu, rozumiesz waszmość... zasady konspiracji. Rozpoznasz bez trudu gdzie to jest.
dlga_general_rozpoznanieogniem2:close_window|Zapewne w okolica jest obstawiona szpiclami, działaj więc nocą, po cichu i możliwie najdyskretniej.
dlga_ignac_quest:ignac_egzekucja|Jeden z naszych ludzi został pochwycony w Debreczynie podczas przemytu broni. Wkrótce ma zostać stracony, zrób wszystko aby go uwolnić.
dlga_ignac_egzekucja:ignac_egzekucja1|Tamtejszy oficer przywodzący egzekucjom to przekupna gnida. Masz tu pieniądze na wykup, bez większych starań, powinieneś  zdołać wykupić naszego człowieka. 
dlga_ignac_egzekucja1:close_window|Egzekucja odbędzie się wkrótce, musisz więc wyruszyć jak najprędzej. Pamiętaj, aby wszystko odbyło się po cichu i bez żadnego rozgłosu.
dlga_ignac_quest:zniewaga_start1|Trzeba ci wiedzieć, iż jest pewien człek, który za cel obrał znieważanie mnie w oczach ludzi. Nie dopuszczalnym jest dla mnie, będąc tu gdzie jestem, tolerowanie jego obelg i fałszywych oskarżeń.
dlga_zniewaga_start1:zniewaga_start2|Człek ów, to dawny mój rywal, z którym za młodu do jednej panny o rękę występowaliśmy. Rzecz jasna, dama owa mnie wybrała. Padalec znieść nie mógł odmowy i swój gniew oraz frustracyje, po dziś dzień kieruje przeciw mnie!
dlga_zniewaga_start2:zniewaga_start3|Nie mogę wyzwać go na pojedynek z racji na mą pozycję. Jednak, ty z dalekiego kraju... wejdź z nim w zatarg, a następnie wyzwij go na pojedynek. Chcę abyś raz na zawsze pozbył się gada. Zrób to dla dobra powstania, wiesz przecież, jak bardzo mógłby nam zaszkodzić? 
dlga_zniewaga_start3:close_window|Tak też myślałem. Będę niecierpliwie wyczekiwał wieści od ciebie.
dlga_start:zniewaga_1|Czołem waszmości.
dlga_zniewaga_1:zniewaga_2|Czy my się znamy? Nie przypominam sobie...
dlga_zniewaga_2:zniewaga_3|Ależ nie, jestem {playername}.
dlga_zniewaga_3:zniewaga_4|{playername}? Niech ci będzie, witaj.
dlga_zniewaga_4:zniewaga_5|Mam nadzieję, że waszmości nie przeszkadzam?
dlga_zniewaga_5:zniewaga_6|Skądże znowu. 
dlga_zniewaga_6:zniewaga_7|Jeżeli przeszkadzam, to proszę powiedzieć. Nie chciałbym przeszkadzać. 
dlga_zniewaga_7:zniewaga_8|Nic mi nie przeszkadzacie, stójcie tu sobie do woli.
dlga_zniewaga_8:zniewaga_9|A widzi waszmość! Słyszę w waszym głosie wyraźną urazę do mojej osoby! A przecie pytałem, czy nie przeszkadzam. 
dlga_zniewaga_9:zniewaga_11|Zapytam raz jeszcze. Czy nie przeszkadzam waszmości?
dlga_zniewaga_11:zniewaga_12|Do diabła, dajże spokój, waszmość na umyśle słabujesz?
dlga_zniewaga_12:zniewaga_13|Ha! Wiedziałem! Wpierw mówicie, iż nie przeszkadzam, aby potem obrzucać mnie obelgami!
dlga_zniewaga_13:zniewaga_14|Przebrała się miarka! Nauczę was rozumu!
dlga_zniewaga_14:close_window|Stawaj na szable!
dlga_start:close_window.7|Będę cię oczekiwał... dołóż starań, aby nie sprawić mi przykrej niespodzianki.
dlga_start:close_window.8|Będę cię wyglądał, lecz teraz czas ci już w drogę. Jedź z Bogiem.
dlga_start:3zdrajcy_1|Hę? Czego?
dlga_3zdrajcy_1:close_window|Kładę areszt na waszeci! Straże do mnie!
dlga_event_triggered:qemisar1|Uf, ledwo, a bylibyśmy jutro na tortury wzięci. Dziękuję  waści za ostrzeżenie i pomoc w ucieczce.
dlga_qemisar1:close_window|Tu się rozdzielimy, nie mam już co wracać do {s20}, zatem ruszę dalej na wschód i tam będę próbował podburzać ludność. Bywajcie. 
dlga_start:qemis2|Coście za jeden?! Czego tu szukacie?
dlga_qemis2:qemis3|Cichaj waszmość nim pobudzisz wszystkich w tym przybytku! Przybywam od Ignaca Martinovicsa, mam was zabrać stąd czym prędzej.
dlga_qemis3:close_window|Ależ mnie waszmość wystraszył! Skoro tak, nie ma chwili do stracenia. Chodźmy.
dlga_start:execution_save55|Wolny jesteś.
dlga_execution_save55:close_window|Na Boga! Kimże waszmość jesteś?!
dlga_start:execution_save|Jeszcze raz dziękuję, odsuń się jednak panie aby nie sprowadzić na siebie i na nas nieszczęścia. Zbyt dużo ludzi widziało nas.
dlga_start:execution_save.1|Bogu niech będą dzięki! Komu zawdzięczać mamy życie?
dlga_execution_save:execution_save2|Jestem {playername}.^
dlga_execution_save2:close_window|Dzięki ci {playername}. Pozostaniemy twymi dłużnikami.
dlga_start:execution_quest|Jeden ze skazanych jest niewinny.
dlga_execution_quest:execution_quest2|Niewinny?! Nawet ja bez winy nie jestem, a co dopiero ten parszywiec, któren rękę podniósł na żołnierza! Co ja mówię, pułkownika w służbie Najjaśniejszego Pana!
dlga_execution_quest2:execution_quest3|Zasłużył sobie, jak wszyscy diabli. Zginie tu i teraz, basta!
dlga_execution_quest3:execution_quest4|Nalegam abyście go wypuścili. Jestem nawet gotów zapłacić ile trzeba.
dlga_execution_quest4:execution_quest5|Carskiego oficera przekupić chcesz?! A, to niecnota! Święci pańscy, skąd tacy się biorą! 
dlga_execution_quest5:execution_quest6|Winien jestem stawić cię obok nich, lecz wiedz, iż serce mam miękkie, a uposażenie skromne.
dlga_execution_quest6:execution_quest7|Dasz 700 złociszy za życie tego kmiotka i obaj pójdziecie w diabły.
dlga_execution_quest7:close_window|Interes z waszmościem to prawdziwa przyjemność. 
dlga_execution_quest7:execution_quest8|700?! Waść na umyśle słabujesz, toż to fortuna!
dlga_execution_quest8:execution_quest9|Skaranie boskie! O życie kamrata targ toczy! 
dlga_execution_quest9:close_window|Umowa jest nieważna. Dalej, brać go!
dlga_start:execution_interfere|Czego chcesz?! Wycofaj się albo podzielisz los tych zdrajców!
dlga_start:execution_interfere.1|Sprawiedliwość tu wymierzamy, po coście przybyli?
dlga_execution_interfere:execution_interfere_attack|Żądam uwolnienia tych ludzi.
dlga_execution_interfere_attack:close_window|Wybrałeś więc swój los. Brać go! 
dlga_execution_interfere:close_window|[Odejdź]
dlga_start:karczma_szlachta|{s20}
dlga_karczma_szlachta:karczma_szlachta_polityka|Co tam słychać w polityce? 
dlga_karczma_szlachta_polityka:karczma_szlachta|A idź pan w cholere.
dlga_karczma_szlachta:karczma_szlachta_plotka|Co ostatnio słychać na traktach i w karczmach? 
dlga_karczma_szlachta_plotka:karczma_szlachta|Nic takiego. 
dlga_karczma_szlachta:karczma_szlachta_bye|Nic, żegnam. 
dlga_karczma_szlachta_bye:close_window|{s20}
dlga_start:karczma_kupcy|{s20}
dlga_karczma_kupcy:karczma_kupcy_bye|Żegnam.
dlga_karczma_kupcy_bye:close_window|{s20}
dlga_start:karczma_chlopi|{s20}
dlga_karczma_chlopi:karczma_chlopi_plotka|O czym ostatnio się mówi? 
dlga_karczma_chlopi_plotka:karczma_chlopi|O niczym.
dlga_karczma_chlopi:karczma_chlopi_bye|Nic, żegnam. 
dlga_karczma_chlopi_bye:close_window|Żegnam.
dlga_event_triggered:close_window.1|fafffffffffffff
dlga_start:kosciuszko_3etapend|Czołem {s20}! Należy ci przyznać, iż znakomicie wywiązałeś się z powierzonych ci rozkazów. Twój udział w walce i poświęcenie nie pójdą na marne. Za zasługi, pragnę nagrodzić cię awansem. Od teraz jesteś {s68}.
dlga_start:kosciuszko_3etapend.1|Witam {s68}, oczekiwałem twojego przybycia.
dlga_kosciuszko_3etapend:kosciuszko_3etapend3|Jak pewnie wiesz, wkrótce rozpocznie się wojna. Ani Król Pruski, ani Caryca Katarzyna nie pójdą na ugodę. Utrata zwierzchnictwa w Rzeczpospolitej zadałaby cios autorytetowi monarchii i doprowadziła do wewnętrznych konfliktów. Zatem możemy być pewni, iż rzucą przeciw nam wszystkie siły, aby niepodległość naszą zdusić.
dlga_kosciuszko_3etapend3:kosciuszko_3etapend4|Co tyczy się Habsburgów, zajęci są walką z powstaniem na Węgrzech i wojną przeciw Rewolucyjnej Francji, tak dalece, iż zagrożenia z ich strony możemy się nie obawiać. Mamy jednak emisariuszy i na Węgrzech i nawet w Wiedniu, jeśli sytuacja miałaby ulec zmianie, z pewnością dowiemy się o tym wcześniej.
dlga_kosciuszko_3etapend3:kosciuszko_3etapend4.1|Co tyczy się Habsburgów, możemy spodziewać się ataku również z ich strony. Jednak jak donoszą mi emisariusze, mają oni ograniczone siły, przez powstanie na Węgrzech i walki przeciw Rewolucyjnej Francji. Mimo to, musimy pozostać w gotowości, mam informację o ruchach wojsk nieopodal granicy.
dlga_kosciuszko_3etapend4:close_window|Potrzebujemy więc działań zdecydowanych. Wraz ze swoim regimentem, będziesz wspierał oddziały nasze w miejscach szczególnie zagrożonych. Zajmiesz się także dywersją na terenach należących do wroga. To ziemie zagarnięte nam bezprawnie. Możesz liczyć na przychylność ludności.
dlga_start:qstregiment_a|Melduję, iż zgodnie z rozkazem przyjąłem regiment pod moje dowództwo.
dlga_qstregiment_a:close_window|Znakomicie poruczniku. Jak tylko będziesz gotów zgłoś się do mnie, aby odebrać następne rozkazy.
dlga_start:kosciuszko_onquest|{s68}, co macie mi do zameldowania? 
dlga_kosciuszko_onquest:close_window|Pojmałem Chorążego Świstackiego i wedle rozkazu przywożę Generałowi.
dlga_kosciuszko_onquest:kosciuszko_onquest2|Jestem w trakcie wykonywania rozkazów.
dlga_kosciuszko_onquest2:close_window|Znakomicie. Będę oczekiwał wieści o postępach.
dlga_start:close_window.9|fafffffffffffff
dlga_start:werbownik_first_meet|Czołem, jestem {playername}. Przybywam z rozkazu Naczelnika, aby odebrać powierzony mi regiment.
dlga_werbownik_first_meet:werbownik_first_meet2|Witam, to waszmość jest tym obrotnym młodzieńcem, który emisariuszem Kościuszki był na Węgrzech? Winszuję dotychczasowych przewag i awansu.
dlga_werbownik_first_meet2:close_window|Regiment jest gotów do wymarszu w każdej chwili. Jeśli czegoś jeszcze będziecie potrzebowali, wiecie gdzie mnie szukać.
dlga_start:werbownik_p|Witam {s68}, czego wam trzeba?
dlga_werbownik_p:close_window|Jestem w sprawie regimentu. 
dlga_werbownik_p:close_window.1|Już nic, żegnam.
dlga_start:kochanka|{s20}
dlga_kochanka:close_window|Wiesz najlepiej.
dlga_kochanka:kochanka_wyzwanie|Czy masz dla mnie jakieś wyzwania?
dlga_kochanka_wyzwanie:kochanka|Mówi się, że najlepszym szermierzem w Rzeczpospolitej, a kto wie czy nie w całej Europie jest {s20}. Podobno to moczymorda i bumelant, jakże ktoś taki może być na ustach ludzi?^ Aby przysporzyć mi dumy pójdź z nim w zawody, niech ludzie choć przez chwilę mówią, że to Ty jesteś pierwszą szablą w Rzeczpospolitej!
dlga_kochanka_wyzwanie:kochanka.1|wygraj 3 pojedynki na szable
dlga_kochanka_wyzwanie:kochanka.2|wygraj 3 pojedynki na pistolety
dlga_kochanka_wyzwanie:kochanka.3|Nie, nie mam.
dlga_kochanka:kochanka_pozyczka|Potrzebuję pieniędzy.
dlga_kochanka_pozyczka:kochanka|Niech będzie, to wszystko co mam.
dlga_kochanka_pozyczka:kochanka_pozyczka2|Przecież dostałeś ode mnie pieniądze, nie dalej niż kilka dni temu, nie mam teraz więcej.
dlga_kochanka_pozyczka2:kochanka_pozyczka_make|Są mi naprawdę potrzebne.
dlga_kochanka_pozyczka_make:kochanka|Niech będzie, to wszystko co mam.
dlga_kochanka_pozyczka_make:kochanka.1|Nie mogę teraz. 
dlga_kochanka_pozyczka2:kochanka|[Zrezygnuj]
dlga_kochanka:kochanka_zakoncz|Chciałbym zakończyć nasz związek. 
dlga_kochanka_zakoncz:kochanka_zakoncz_|Słucham? Dobrze się czujesz {playername}?
