p_zendar|Zendar
p_karczma_e|Pod Kuflem Świętego Anulfa
p_karczma_f|Stara Karczma
p_karczma_g|Pod Kozim Kłem
p_karczma_h|Karczma Hulanka
p_karczma_i|Pod Wiedniem
p_karczma_j|Pod Kielichem
p_karczma_k|Wymysłów
p_karczma_l|Piekiełko
p_karczma_m|Przekora
p_karczma_n|Zawada
p_karczma_o|Pod Złamana Kopią
p_karczma_p|Łapiguz
p_karczma_r|Nazłość
p_karczma_t|Utrata
p_karczma_u|Sodoma
p_karczma_w|Ucieszka
p_karczma_x|Gospoda Czekaj
p_karczma_y|Trzy Żubry
p_karczma_yy|Mitręga
p_karczma_yyy|Gospoda Bezdenna
p_karczma_aa|Gospoda Trzy Słowa
p_karczma_ab|Karczma Na Przełęczy
p_karczma_ac|Austeria Kamieniecka
p_karczma_ad|Pod Czarnym Barankiem
p_karczma_ae|Gospoda Czerwony Rum
p_karczma_af|Pod Królową Gęsią Nóżką
p_karczma_ag|Pod Duńską Koroną
p_karczma_ah|Gospoda Czarcie Kopyto
p_battlefields|battlefields
p_training_ground|Training Ground
p_training_ground_1|Training Field
p_training_ground_2|Training Field
p_training_ground_3|Training Field
p_training_ground_4|Training Field
p_training_ground_5|Training Field
p_polish_guards_spawn_point|polish guards sp
p_russian_guards_spawn_point|russian guards sp
p_austrian_guards_spawn_point|austrian guards sp
p_prussian_guards_spawn_point|prussian gruards sp
p_kosynierzy_lubelscy_spawn_point|kosynierzy lubelscy sp
p_kosynierzy_krakowscy_spawn_point|kosynierzy krakowscy sp
p_kosynierzy_spawn_point|kosynierzy sp
p_kosynierzy_a_spawn_point|kosynierzy a sp
p_powstancy_kosciuszkowscy_spawn_point|powstancy kosciuszkowscy sp
p_wisnicka_straz_zamkowa_spawn_point|wisnicka straz zamkowa sp
p_russian_cossacks_spawn_point|russian cossacks sp
p_kosciuszkowcy|kosciuszkowcy sp
p_cossack_bandit_spawn_point|the steppes
p_taiga_bandit_spawn_point|the tundra
p_forest_bandit_spawn_point|the forests
p_opryszkowie_spawn_point|the robbers
p_sea_raider_spawn_point_1|the coast
p_sea_raider_spawn_point_2|the coast
p_desert_bandit_spawn_point|the deserts
p_1podroz_1|Training Field
p_1podroz_2|Training Field
p_1podroz_3|Training Field
p_1podroz_4|Training Field
p_1podroz_5|Training Field
p_1podroz_6|Training Field
p_1podroz_7|Training Field
p_1podroz_8|Training Field
p_1podroz_9|Training Field
p_1podroz_10|Training Field
p_dowodca4|Wiejska parafia
p_looters_spawn_b|Pod Piórem Kogucim
p_looters_spawn_c|Ostatni grosz
p_looters_spawn_d|Karczma Rzym
p_looters_spawn_e|Pod Kuflem Świętego Anulfa
p_looters_spawn_f|Stara Karczma
p_looters_spawn_g|Pod Kozim Kłem
p_looters_spawn_h|Karczma Hulanka
p_looters_spawn_i|Pod Wiedniem
p_looters_spawn_j|Pod Kielichem
p_looters_spawn_k|Wymysłów
p_looters_spawn_l|Piekiełko
p_looters_spawn_m|Przekora
p_looters_spawn_n|Zawada
p_looters_spawn_o|Pod Złamaną Kopią
p_looters_spawn_p|Łapiguz
p_looters_spawn_r|Nazłość
p_looters_spawn_t|Utrata
p_looters_spawn_u|Sodoma
p_looters_spawn_w|Ucieszka
p_looters_spawn_x|Gospoda Czekaj
p_looters_spawn_y|Trzy Żubry
p_zbojnicy_spawn_b|Pod Piorem Kogucim
p_zbojnicy_spawn_c|Ostatni grosz
p_zbojnicy_spawn_d|Karczma Rzym
p_zbojnicy_spawn_e|Pod Kuflem Swietego Anulfa
p_zbojnicy_spawn_f|Stara Karczma
p_zbojnicy_spawn_g|Pod Kozim Klem
p_zbojnicy_spawn_h|Karczma Hulanka
p_zbojnicy_spawn_i|Pod Wiedniem
p_zbojnicy_spawn_j|Pod Kielichem
p_zbojnicy_spawn_k|Wymyslow
p_zbojnicy_spawn_l|Piekielko
p_zbojnicy_spawn_m|Przekora
p_zbojnicy_spawn_n|Zawada
p_zbojnicy_spawn_o|Pod Zlamana Kopia
p_zbojnicy_spawn_p|Lapiguz
p_zbojnicy_spawn_r|Nazlosc
p_zbojnicy_spawn_t|Utrata
p_zbojnicy_spawn_u|Sodoma
p_zbojnicy_spawn_w|Ucieszka
p_zbojnicy_spawn_x|Gospoda Czekaj
p_zbojnicy_spawn_y|Trzy Zubry
p_przemytnicy_spawn_b|Pod Piorem Kogucim
p_przemytnicy_spawn_c|Ostatni grosz
p_przemytnicy_spawn_d|Karczma Rzym
p_przemytnicy_spawn_e|Pod Kuflem Swietego Anulfa
p_przemytnicy_spawn_f|Stara Karczma
p_qinfiltracja|Kryjówka
p_ataman_1|Stanica Kozacka
p_ataman_2|Stanica Kozacka
p_ataman_3|Stanica Kozacka
p_ataman_4|Stanica Kozacka
p_ataman_5|Stanica Węgierska
p_ataman_6|Stanica Węgierska
p_ataman_7|Stanica Węgierska
p_wojsko_1|Obóz Wojsk
p_wojsko_2|Obóz Wojsk
p_wojsko_3|Obóz Wojsk
p_wojsko_4|Obóz Wojsk
p_terrain_mountains|Hideout
p_terrain_plain|Hideout
p_terrain_steppe|Hideout
p_terrain_end|Hideout
p_qkryjowkamaruderow|Kryjówka
