qstr_Kłódka|Kłódka
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_The_town_of_{s50}|The town of {s50}
qstr_The_village_of_{s50}|The village of {s50} near {s52}
qstr_{s51}_belongs_to_{s1|{s51} belongs to {s1} of {s2}.^
qstr_{s7}_and_{s8}|{s7} and {s8}
qstr_{s2}It_has_no_villag|{s2}It has no villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Its villages are:Its village is} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Its prosperity is: {s50}
qstr_noone|noone
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s5}_has_been_defeat|{s5} has been defeated!
qstr_{s7}_opened_the_gate|{s7} opened the gate
qstr_{s7}_closed_the_gate|{s7} closed the gate
qstr_{s1}|{s1}
qstr_+{reg1}_to_party_mor|+{reg1} to party morale
qstr_Requires_{reg1}_inte|Requires {reg1} intelligence to read
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%
qstr_wound_treament|wound treament
qstr_trainer|trainer
qstr_surgery|surgery
qstr_+1_to_{s1}_while_in_|+1 to {s1} while in inventory
qstr_Move_here|Move here
qstr_View_notes|View notes
qstr_Accompany|Accompany
qstr_zabito|zabito
qstr_raniono|raniono
qstr_{s0}^ŁĄCZNIE:_{reg|{s0}^ŁĄCZNIE: {reg3} ({s2})
qstr_Nie_posiadasz_obecni|Nie posiadasz obecnie regimentu.
qstr_^brak|^brak
qstr_cf_training_ground_s|cf training ground sub routine for training result 1
qstr_cf_training_ground_su|cf training ground sub routine for training result 2
qstr_nothing|nothing
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castle{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castle{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Your opponents are ready for the fight.
qstr_Try_to_destroy_as_ma|Try to destroy as many targets as you can. You have two and a half minutes to clear the track.
qstr_Stay_behind_the_line|Stay behind the line on the ground and shoot the targets. Try not to waste any shots.
qstr_Przewaga_bitewna_=_{|Przewaga bitewna = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
qstr_{s0}_jest_usuwany|{s0} jest usuwany
qstr_DEBUG:_ERROR_change_|DEBUG: ERROR change troop faction trp player {s1}
qstr_DEBUG:_{s0}_uzupełn|DEBUG: {s0} uzupełnił oddział. ilość przed uzupełnieniem: {reg0} po: {reg1}
qstr__Being_Raided_|(Being Raided)
qstr__Looted_|(Looted)
qstr__Pod_oblężeniem_|(Pod oblężeniem)
qstr_{s0}_rozpoczyna_obl�|{s0} rozpoczyna oblężenie {s1}
qstr_Spawnuje_obok_{s0}{s|Spawnuje obok {s0}|{s1}
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.
qstr_{s3}_nie_jest_już_p|{s3} nie jest już pod oblężeniem.
qstr_Zauważono_niewielki|Zauważono niewielkie oddziały wroga w pobliżu miejscowości {s1}.
qstr_Zauważono_wrogie_pa|Zauważono wrogie patrole w pobliżu miejscowości {s1}.
qstr_Zauważono_średniej|Zauważono średniej wielkości oddziały wroga w pobliżu miejscowości {s1}.
qstr_Zauważono_liczne_od|Zauważono liczne oddziały wroga w pobliżu miejscowości {s1}.
qstr_Zauważono_wrogą_ar|Zauważono wrogą armię w pobliżu miejscowości {s1}.
qstr_Zauważono_sporą_wr|Zauważono sporą wrogą armię w pobliżu miejscowości {s1}.
qstr_Zauważono_wielką_i|Zauważono wielką ilość wrogów w pobliżu miejscowości {s1}.
qstr_discarding_besieging|discarding besieging center for {s0
qstr_Twierdza_{s1}_dołąc|Twierdza {s1} dołącza do rewolucji!
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} is the new marshal of {s2}.
qstr_check_and_finish_act|check and finish active army quests for faction
qstr_Zdobywasz_{reg12}_pk|Zdobywasz {reg12} pkt. renomy.
qstr_Tracisz_{reg12}_pkt.|Tracisz {reg12} pkt. renomy.
qstr_Your_relation_with_{|Your relation with {s1} has improved.
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
qstr_Zyskujesz_honor.|Zyskujesz honor.
qstr_Tracisz_honor.|Tracisz honor.
qstr_{s1}_wypowiedział_w|{s1} wypowiedział wojnę przeciw państwu o nazwie {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} and {s2} have made peace with each other.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_{s6}_has_joined_your|{s6} has joined your party.
qstr_You_now_owe_{reg2}_d|You now owe {reg2} denars to {s1}.
qstr_Stawka_renomy_tej_bi|Stawka renomy tej bitwy wynosi {reg8}.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
qstr_Advancing|Advancing
qstr_Falling_Back|Falling Back
qstr_Standing_Closer|Standing Closer
qstr_Spreading_Out|Spreading Out
qstr_Standing|Standing
qstr_N/A|N/A
qstr_Free|Free
qstr_Any_Weapon|Any Weapon
qstr_Blunt_Weapons|Blunt Weapons
qstr_DEBUG:_player_join_f|DEBUG: player join faction {s1}
qstr_{s1}_Rebels|{s1} Rebels
qstr_Otrzymany_od:_{s62}|Otrzymany od: {s62}
qstr_Otrzymany_w_{s60}|Otrzymany w {s60}
qstr_Masz_{reg0}_dni_aby_|Masz {reg0} dni, aby ukończyć to zadanie.
qstr_Zadanie_zostało_wyk|Zadanie zostało wykonane. Porozmawiaj z {s59}, aby je ukończyć.
qstr_Zadanie_zostało_pom|Zadanie zostało pomyślnie wykonane. Porozmawiaj z {s59}, aby je ukończyć.
qstr_Zadanie_nie_zostało|Zadanie nie zostało wykonane pomyślnie. Porozmawiaj z {s59}.
qstr_At_the_time_quest_wa|At the time quest was given:^{s1}
qstr_DEBUG:_{s0}_przechod|DEBUG: {s0} przechodzi w ramach bonusu!
qstr_Renoma:_{reg0}_Wspol|Renoma: {reg0} Wspolczynnik: {reg1}
qstr_http://1794.com.pl/1|http://1794.com.pl/1794/get.php?player={s1}&type=0&message={s0}
qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
qstr_Current_garrison_con|Current garrison consists of {reg5} men.^Has food stock for {reg6} days.
qstr_Very_Poor|Very Poor
qstr_Poor|Poor
qstr_Average|Average
qstr_Rich|Rich
qstr_Very_Rich|Very Rich
qstr_Manor|Manor
qstr_A_manor_lets_you_res|A manor lets you rest at the village and pay your troops half wages while you rest.
qstr_Mill|Mill
qstr_A_mill_increases_vil|A mill increases village prosperity by 5%.
qstr_Watch_Tower|Watch Tower
qstr_A_watch_tower_lets_t|A watch tower lets the villagers raise alarm earlier. The time it takes for enemies to loot the village increases by 50%.
qstr_School|School
qstr_A_shool_increases_th|A shool increases the loyality of the villagers to you by +1 every month.
qstr_Messenger_Post|Messenger Post
qstr_A_messenger_post_let|A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away from here.
qstr_Prison_Tower|Prison Tower
qstr_A_prison_tower_reduc|A prison tower reduces the chance of captives held here running away successfully.
qstr_Prosperity_of_{s2}_h|Prosperity of {s2} has changed from {s3} to {s4}.
qstr_{s4}_looks_upset.|{s4} looks upset.
qstr_your_party|your party
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of {s3} has escaped from captivity!
qstr_You_brought_{reg3}_h|You brought {reg3} heads of cattle to {s1}.
qstr_I_heard_that_there_w|I heard that there will be a tournament in {s62} soon.
qstr_I_heard_that_one_can|I heard that one can buy {s62} very cheap at {s63}.
qstr_I_heard_that_they_pa|I heard that they pay a very high price for {s62} at {s63}.
qstr_two_days_ago|two days ago
qstr_Best_threat_of_{s4}_|Best threat of {s4} has value level of {reg1}
qstr_No_center_found_to_d|No center found to defend
qstr_Powrót|Powrót
qstr_Korony|Korony
qstr_Litwy|Litwy
qstr_Rusi|Rusi
qstr_Terytoriów_Zewnetrz|Terytoriów Zewnetrznych
qstr_Zubożałym_Szlachci|Zubożałym Szlachcicem
qstr_Bogatym_Mieszczanine|Bogatym Mieszczaninem
qstr_Niewiadomego_Pochodz|Niewiadomego Pochodzenia
qstr_Szerzyć_ideały_dem|Szerzyć ideały demokratyczne
qstr_Odzyskać_utracony_m|Odzyskać utracony majątek 
qstr_Odzyskać_utraconą_|Odzyskać utraconą pozycję 
qstr_Uwolnić_się_od_wie|Uwolnić się od wierzycieli
qstr_Kadetem|Kadetem
qstr_Rewolucjonistą|Rewolucjonistą
qstr_Studentem|Studentem
qstr_Księdzem|Księdzem
qstr_FinalWinLevel_=_{reg|FinalWinLevel = {reg0}
qstr_http://1794.com.pl/17|http://1794.com.pl/1794/get.php?player={s0}&type={reg0}&message=Przeszedl%20do%20etapu%203!
qstr_Konfederacja_Targowi|Konfederacja Targowicka
qstr_Frakcja_upadła|Frakcja upadła
qstr_Frakcja_upadła_usuw|Frakcja upadła, usuwanie {s0}
qstr_http://1794.com.pl/179|http://1794.com.pl/1794/get.php?player={s0}&type={reg0}
qstr_We_ain_t_gonna_take_|We ain't gonna take it!: {reg0}
qstr_WE_LL_SEE|WE'LL SEE
qstr_disableRain|disableRain
qstr_windPower|windPower
qstr_czynnik_{reg10}_type|czynnik {reg10} type: {reg0} str {reg1} fog {reg2} wind {reg3} grass {reg4} waves {reg5} skybox {reg6}
qstr_DEBUG_INFO:_{s0}_prz|DEBUG INFO: {s0} przywrocony
qstr_DEBUG_INFO:_{s0}_dod|DEBUG INFO: {s0} dodany jako bonus
qstr_Patrol_został_zlikw|Patrol został zlikwidowany.
qstr_Rzeczpospolita_Obojg|Rzeczpospolita Obojga Narodow
qstr_http://1794.com.pl/1794|http://1794.com.pl/1794/get.php?player={s0}&type={reg0}&message=Przeszedl%20do%20etapu%204!
qstr_DEBUG:_{s1}_jest_prz|DEBUG: {s1} jest przypisany do {s0}
qstr_DEBUG:_Spawned_patro|DEBUG: Spawned patrol can't have troops
qstr_Wojna_mimo_iż_na_dw|Wojna, mimo iż na dwóch frontach przeprowadzana, została zakończona sukcesem. Zarówno Królestwo Prus jak i Monarchia Habsburgów zostały odrzucone od granic Rzeczpospolitej, ze znacznymi stratami. Niebagatelne znaczenie miała zmiana władzy w Cesarstwie Rosyjskim i przynajmniej czasowe wygaszenie konfliktu między obydwoma narodami…
qstr_Wojna_przeprowadzana|Wojna przeprowadzana na dwóch frontach, z Królestwem Prus i Monarchią Habsburgów, zakończyła się porażką. Mimo wielu starań nie udało się utrzymać kluczowych mas, na tyle długo, aby przeprowadzić w nich konieczne umocnienia i powołać nową demokratyczną władzę. Rzeczpospolita znów znalazła się pod kuratelą wrogich mocarstw…
qstr_Wojna_mimo_iż_na_dw�|Wojna, mimo iż na dwóch frontach przeprowadzana, została zakończona sukcesem. Zarówno Królestwo Prus jak i Cesarstwo Rosyjskie zostały odrzucone od granic Rzeczpospolitej, ze znacznymi stratami. Niemałe było tu znaczenie Spiskowców, którzy od wewnątrz walcząc z Cesarstwem doprowadzili do jego osłabienia.
qstr_Wojna_przeprowadzana_|Wojna przeprowadzana na dwóch frontach, z Królestwem Prus i Cesarstwem Rosyjskim, zakończyła się porażką. Mimo wielu starań nie udało się utrzymać kluczowych mas, na tyle długo, aby przeprowadzić w nich konieczne umocnienia i powołać nową demokratyczną władzę. Rzeczpospolita znów znalazła się pod kuratelą wrogich mocarstw…
qstr_Wojna_mimo_iż_na_dwó|Wojna, mimo iż na dwóch frontach przeprowadzana, została zakończona sukcesem. Zarówno Królestwo Prus jak i Cesarstwo Rosyjskie zostały odrzucone od granic Rzeczpospolitej, ze znacznymi stratami. Sukces tym większy, iż odniesiony bez pomocy państw zewnętrznych.
qstr_Przegrana_rewolucja_|Przegrana rewolucja w rosji
qstr_Nierozstrzygnięta_r|Nierozstrzygnięta rewolucja w rosji
qstr_Wygrana_rewolucja_w_|Wygrana rewolucja w rosji
qstr_Porucznik|Porucznik
qstr_Poruczniku|Poruczniku
qstr_Kapitanie|Kapitanie
qstr_Rotmistrzu|Rotmistrzu
qstr_Major|Major
qstr_Majorze|Majorze
qstr_Pułkownik|Pułkownik
qstr_Pułkowniku|Pułkowniku
qstr_Generale|Generale
qstr_Brygadierze|Brygadierze
qstr_http://1794.com.pl/1794/|http://1794.com.pl/1794/get.php?player={s0}&type={reg0}&quest={s1}
qstr_BattleDataSetSlot_ER|BattleDataSetSlot ERROR: team < 0  || team > 9
qstr_BattleDataGetSlot_ER|BattleDataGetSlot ERROR: team < 0 || team > 9
qstr_ERROR:_invalid_lover|ERROR: invalid lover
qstr_ended|ended
qstr_Umundurowanie_zosta�|Umundurowanie zostało dodane do ekwipunku.
qstr_http://1794.com.pl/1794/g|http://1794.com.pl/1794/get.php?player={s0}&type=5&rank={reg0}
qstr_Strzelać_bez_rozkaz|Strzelać bez rozkazu!
qstr_Salwy_cykliczne!|Salwy cykliczne!
qstr_Salwy_na_rozkaz!|Salwy na rozkaz!
qstr_Wstrzymać_ostrzał|Wstrzymać ostrzał
qstr_End16|End16
qstr_W_pobliskim_wąwozie|W pobliskim wąwozie przygotowana została zasadzka na konwój z bronią. Wzmocnij siły zasadzki wraz ze swoimi ludźmi, aby zwiększyć szanse na powodzenie zasadzki.
qstr_Parszywiec|Parszywiec
qstr_Nikczemnik|Nikczemnik
qstr_Kuklinowski|Kuklinowski
qstr_Grzędosławski|Grzędosławski
qstr_Pawłowicz|Pawłowicz
qstr_Długolas|Długolas
qstr_Wspieraj_węgierskic|Wspieraj węgierskich konspiratorów w przygotowaniach do powstania.
qstr_Odnajdź_przywódcó|Odnajdź przywódców konspiracji w innych regionach.
qstr_Skontaktuj_się_z_pr|Skontaktuj się z przywódcą konspiratorów w Budapeszcie.
qstr_Skontaktuj_się_z_po|Skontaktuj się z posłańcem w pobliżu Debreczyna.
qstr_Skontaktuj_się_z_Ma|Skontaktuj się z Martinovics'em w Budapeszcie.
qstr_Udaj_się_do_Rzeczpo|Udaj się do Rzeczpospolitej i odnajdź Generała Tadeusza Kościuszkę. Naczelnik powstania powinien przebywać w Krakowie lub jego okolicach.
qstr_Skontaktuj_się_z_prz|Skontaktuj się z przywówdcą węgierskiej konspiracji - Ignacem Martinovicsem, aby odebrać rozkazy.
qstr_Wspieraj_wojska_pod_|Wspieraj wojska pod dowództwem Naczelnika Kościuszki, aż do przejęcia wszystkich ziem z rąk Targowicy.
qstr_Udaj_się_do_Rzeczpos|Udaj się do Rzeczpospolitej i odnajdź Generała Tadeusza Kościuszkę.
qstr_Zgłoś_się_do_Nacz|Zgłoś się do Naczelnika Kościuszki w sprawie dalszych rozkazów.
qstr_Wykonałeś_wszystki|Wykonałeś wszystkie rozkazy. Czekaj na dalszy rozwój zdarzeń.
qstr_Uzupełnij_wojska_i_|Uzupełnij wojska i oczekuj na wieści o ofensywie wrogich wojsk.
qstr_Chroń_tereny_Rzeczp|Chroń tereny Rzeczpospolitej przed atakami wroga i przeprowadzaj działania dywersyjne w ramach kontrofensywy.
qstr_Plotka_o_ID_{reg0}_z|Plotka o ID {reg0} została odblokowana.
qstr_Plotka_o_ID_{reg0}_zo|Plotka o ID {reg0} została zablokowana.
qstr_uciekinier_widziany_|uciekinier widziany w okolicy {s0}
qstr_Pluton_piechoty_lini|Pluton piechoty liniowej
qstr_Kompania_piechoty_li|Kompania piechoty liniowej
qstr_Pluton_lekkiej_piech|Pluton lekkiej piechoty
qstr_Szwadron_lekkiej_kaw|Szwadron lekkiej kawalerii
qstr_Batalion_piechoty_li|Batalion piechoty liniowej
qstr_Kompania_lekkiej_pie|Kompania lekkiej piechoty
qstr_Pluton_grenadierów|Pluton grenadierów
qstr_Pulk_lekkiej_kawaler|Pulk lekkiej kawalerii
qstr_Szwadron_ciężkiej_|Szwadron ciężkiej kawalerii
qstr_Regiment_piechoty_li|Regiment piechoty liniowej
qstr_Batalion_lekkiej_pie|Batalion lekkiej piechoty
qstr_Kompania_grenadieró|Kompania grenadierów
qstr_Brygada_lekkiej_kawa|Brygada lekkiej kawalerii
qstr_Pulk_ciężkiej_kawa|Pulk ciężkiej kawalerii
