dlga_start:dialognotused|error, 
dlga_qst_egzekucja_end_fail:etap_2_end_check|Let us entrust their souls to God in prayer. Tis a bad day for me and our cause.
dlga_etap_2_end_check:iietapidkk|That's all, my son. There is no other way you could help me. Let us not forget, however, that there are others to whom you could be of great use.
dlga_iietapidkk:close_window|I heard, that in the mountainous terrains near Budapest, insurgent divisions are being formed. Travel there and support them with your talents. May the God be with you.
"dlga_etap_2_end_check:iietapidk|That's all you could help me with, {playername}. Myself and my troops have to move the camp into a more convenient place.", Recently a lot of patrols showed up in the area.
"dlga_iietapidk:close_window|You, meanwhile, move on.", People have reported to me, that near Kosice the insurgent divisions are being organized. Farewell.
dlga_etap_2_end_check:etap_2_koniec2|It's time, {playername}. Recently a messenger arrived with a letter from Martinovics. I've sent him off towards Debrecen, "but, it seems, you must have missed each other.", 
dlga_etap_2_koniec2:etap_2_koniec3|Go that way, you will certainly reach him. He has an important message for you.
dlga_etap_2_koniec3:close_window|Watch out for yourself. Farewell, {playername}.
dlga_event_triggered:general_patrol_first_meet|Halt! Say quickly who you are!
dlga_general_patrol_first_meet:general_patrol_first_meet2|If you are a deserter, or worse yet a spy, "we have orders to execute you. Right here, right now, ", without a court.
dlga_general_patrol_first_meet2:general_patrol_first_meet3|I am {playername}, a nobleman from the Commonwealth.
dlga_general_patrol_first_meet3:close_window|I come on orders of the conspiracy leader, Ignac Martinovics.
dlga_start:priestguard_first_meet|Whaddya lookin' for? Doncha know, it's no time for visits? Comin' for a confession, wait in the hall for the evening service.a nie głowę zawraca.
dlga_priestguard_first_meet:priestguard_first_meet2|I am {playername}, a nobleman and friend of Ignac Martinovics.  I come to you with a political matter.
dlga_priestguard_first_meet2:priestguard_first_meet3|Mother of God! The politicals again! ^I told the parson, to send you all packing, "you'll only bring misfortune, ", is what I say.
dlga_priestguard_first_meet3:close_window|Why d'you be standing around like that? Come in, if you must.
dlga_start:priest_first_meet|Greetings, I'm {playername}, Martinovics trusted man.
dlga_priest_first_meet:priest_first_meet2|Martinovics's? I am filled with worries, hearing that name.
"dlga_priest_first_meet2:priest_first_meet3|I nonetheless welcome you, son", as though you were one of my parishers. I am Ferenc Bartok, the parson of this place, "and the first exorcist in the Kosice diocese, ", which not without pride I confess to you.
dlga_priest_first_meet3:priest_first_meet4|And if you are from Martinovics, I know why you have come here. For now, let's claim, "that you're my nephew, visiting your sick uncle in need", to ease the hardships of his life.
dlga_priest_first_meet4:close_window|Regarding the last one, "you will not be far from truth and maintain clear conscience, ", as you have arrived for this very purpose. Come back as soon as you're ready.we have a lot of work to do.
dlga_start:priest_quest|Glory be, I see, "you are ready, ", listen then.
dlga_priest_quest:qstmanifesty|As you know, we need to attract the peasantry to the insurrection, but without the proclamation of liberties and promising them freedom, in no way it could succeed. You will take the manifesto and proclaim it in nearby taverns.
dlga_qstmanifesty:close_window|Watch out, however, the enemy patrols the area and the Tsar's emissaries don't potter around either. Set out as soon as possible.
dlga_priest_quest:qstdostarczbron|Not to brag excessively, I have managed to recruit more than a few of my flock to the fight against the Habsburg tyranny. Many a peasant, following my word and direction, left their villages and set out along with the volunteers to spread the news and rouse the populace to the fight.
dlga_qstdostarczbron:qstdostarczbrona|I pray for them daily, " and I know that the Mother of God and the angels in the heavens above are watching out for them. While it is of immense aid, ", " without a gun or a sabre, ", my flock will assuredly be torn apart by wolves.
dlga_qstdostarczbrona:close_window|You shall therefore go to them and deliver the weaponry, "which I procured from smugglers and, with no small effort, stockpiled here. Look out for the patrols and the army, however - ", "should they discover the cargo, you will assuredly be lost.", 
dlga_priest_quest:egzekucja_ii_p|You come in the right time, as you should know, that three men of great import for our further plans have been captured. They are to be executed in Derecen.
dlga_egzekucja_ii_p:close_window|It is thus necessary, for you to set out with haste and prevent the execution. May the Almighty keep you under His protection!
dlga_start:general_first_meet|Howdy good sir.
dlga_general_first_meet:general_first_meet2|Please excuse the suspiciousness of my men, but not once, nor twice, Tsarists sent spies here.
dlga_general_first_meet2:general_first_meet3|Ha! Each and every one confessed in the end. All it took was heating a bunch of coals and seating the miscreant on them. Ah, so much fun haha.
dlga_general_first_meet3:close_window|But you I trust, I recognize the stamp and I know, "you are Martinovics's. Make yourself at home in the camp and, as soons as you're ready", I will be waiting here with the orders.
dlga_start:qst_rozpoznanieogniem_end1|There you are at last! I was about to send people to Vienna, to check if you have been captured.
dlga_qst_rozpoznanieogniem_end1:qst_rozpoznanieogniem_end2|What's with the emissary? Is he alive?
"dlga_qst_rozpoznanieogniem_end2:qst_rozpoznanieogniem_end_good|Alive, as you suspected", "he was being tailed. They attacked as we were trying to get out of the city, but neither he", nor me were hurt, the others in turn received quite a beating.
"dlga_qst_rozpoznanieogniem_end_good:qst_rozpoznanieogniem_4|Good news for us! ^ I don't have one for you, though, {playername}.", 
dlga_qst_rozpoznanieogniem_end2:qst_rozpoznanieogniem_end_fail|Bad news. They were laying in wait and attacked as we were trying to flee the city. Sadly, The emissary died in the fight.
dlga_qst_rozpoznanieogniem_end_fail:qst_rozpoznanieogniem_4|Bad news for us indeed, "we've lost a contact in Vienna itself! Regardless, ", {playername}, I have worse news for you.
dlga_qst_rozpoznanieogniem_4:qst_rozpoznanieogniem_5|Tsarists already know about your part in the conspiracy -, it seems you were being followed too, especially since, "that day in the tavern you've messed up their plans big time, ", as Niemcewicz did not omit in his letter.
dlga_qst_rozpoznanieogniem_5:qst_rozpoznanieogniem_6|You are thus in grave danger, possibly having not only Habsburg spies, but also the Russian ones. One thing for sure, you must leave Budapest today.
"dlga_qst_rozpoznanieogniem_6:qst_rozpoznanieogniem_7|I will give you a letter of recommendation for the conspiracy leaders in other parts of the country. You've proven your skills here, ", your aid may prove priceless for them too.
dlga_qst_rozpoznanieogniem_7:close_window|Prepare for the departure, "the sooner you set out the better. They might send some men your way. Farewell, {playername}."
dlga_start:close_window.5|Get moving quickly, {playername}, the orders mustn't wait.
dlga_start:general_quest|You're here at last.
dlga_general_quest:general_patrol1|{playername}, the scouts reported, that nearby a local village an enemy patrol was spotted.
dlga_general_patrol1:general_patrol2|Find them and kill them all, lest they spot our camp and bring more troops in.
dlga_general_patrol2:close_window|There's still too few of us to face the army. Soon, however, all of that will change and we will be able to avenge our grievances!
dlga_general_quest:general_zasadzka1|Our men are preparing an ambush nearby. A convoy from Pest is going to Debrecen. They are allegedly transporting supplies and weapons.
dlga_general_zasadzka1:close_window|Go and support them. We cannot afford too many losses, and the food will help us survive.
dlga_general_quest:general_zlotomaruderow1| Though it embarasses me to admit, not all volunteers turn out to be as devoted to the patriotic cause as you, {playername}. Recently a bunch of men from my troop fled under the cover of the night taking weapons and horses with them.
dlga_general_zlotomaruderow1:general_zlotomaruderow2| Worse yet, Blackguards, stole the money we confiscated from a Tsar's commissioner bearing the wages for one of the regiments.
dlga_general_zlotomaruderow2:close_window|I suppose, They have hidden somewhere nearby. Find them, shoot them dead and try to recover the money.
dlga_start:ignac_first_meet|Greetings, the name is {playername}. You’re the one called Ignac Martinovics, if I am correct?
dlga_ignac_first_meet:ignac_first_meet2|Indeed it is. Your arrival was expected. Not to beat around the bush, Niemcewicz portrayed you as a man of great talents and , more importantly, a fine soldier able to stand unflinchingly against a dozen hussarshowever
dlga_ignac_first_meet2:ignac_first_meet3|I find that hard to believe, I am however certain, that you can be of great use. I trust, that soon we will have an opportunity to test that.
dlga_ignac_first_meet3:close_window|You are free to take your leave now, return when you are ready to take orders.
dlga_start:zniewaga_ok|Your rival, good sir, has lost to me in the duel. And soon afterwards, he lost his life.
dlga_zniewaga_ok:martinovics_next_quest|Really?! Excellent news! No longer shall he interfere with my plans.
dlga_start:zniewaga_fail|I regret to admit, I did not manage to defeat your rival, m'lord. The blackguard won the duel by an underhanded trick!
dlga_zniewaga_fail:martinovics_next_quest|The witnesses' judgement begs to differ... But nevermind. I will find someone, better fit for that mission.
dlga_start:close_window.6|I will be waiting for you, come, when you're ready.
dlga_start:ignac_quest|Back already? Splendid.^ Listen well, then.
dlga_ignac_quest:general_rozpoznanieogniem1|You see {playername}, we've sent emissaries around the country, to spread revolutionary ideals among the common men. I have recently learned, "however that one of our men acting in Vienna, is under vigilant observation by the enemy. This means", that he might be captured at any time now.
dlga_general_rozpoznanieogniem1:general_rozpoznanieogniem2|There is no way we can allow this to happen.Travel to Wiednia and aid in his flight. He lives in the suburbs, in the local brothel, upstairs. Rozumiesz waszmość... zasady konspiracji. Rozpoznasz bez trudu gdzie to jest.
dlga_general_rozpoznanieogniem2:close_window|It's likely the entire area is filled to the brim with spies, so act during the night, silently and as discreetly as possible.
dlga_ignac_quest:ignac_egzekucja|One of our men has been captured in Debrecen while smuggling weapons. He is to be executed soon.Do all you can to set him free.
dlga_ignac_egzekucja:ignac_egzekucja1|The officer in charge of executions is one bribable son of a bitch. Here is the money for the transaction.You should be able to buy out our man, without any great effort.
dlga_ignac_egzekucja1:close_window|The execution will take place soon.so you must set out as soon as you can. Remember, to keep things discreet.
dlga_ignac_quest:zniewaga_start1|You need to know, that there is a certain man, "who has made it his mission to slander me. It is unacceptable for me, ", "being at the position I am, ", to tolerate his insults and untruthful accusations.
dlga_zniewaga_start1:zniewaga_start2|The man in question, is an old rival of mine, "who paid suit to the same lady I did. Of course, ", the lady chose me. The villain couldn't stomach the rejection and he visits his rage and frustrations, to this very day!
dlga_zniewaga_start2:zniewaga_start3|Keeping my position in mind, I cannot challenge him to a duel. However, you, being from a distant country... Have a dispute with him and challenge him to a duel. I want you to get rid of the weasel once and for all. Do it for the sake of the uprising, you know after all how much harm he could do us.
dlga_zniewaga_start3:close_window|I thought so. I will be awaiting the news.
dlga_start:zniewaga_1|Hail, sir.
dlga_zniewaga_1:zniewaga_2|Do we know each other? I don't seem to recall...
"dlga_zniewaga_2:zniewaga_3|Why, no", I am {playername}.
dlga_zniewaga_3:zniewaga_4|{playername}? So be it, greetings.
dlga_zniewaga_4:zniewaga_5|I hope, I do not disturb you m'lord?
dlga_zniewaga_5:zniewaga_6|Not in the slightest.
dlga_zniewaga_6:zniewaga_7|If I do, please tell me. I would hate to disturb.
"dlga_zniewaga_7:zniewaga_8|You don't disturb me one bit, ", stand here as long as you desire.
"dlga_zniewaga_8:zniewaga_9|Ah, there you see good sir! I can clearly hear in your voice that I am unpleasant to you! And after all", I did ask if I was disturbing you!
dlga_zniewaga_9:zniewaga_11|Let me ask again: do I disturb you?
dlga_zniewaga_11:zniewaga_12|Bloody hell, enough of that, are you out of your mind?
dlga_zniewaga_12:zniewaga_13|Ha! I knew it! First you tell me, "that I'm not a disturbance, ", only to cast insults at me later!
dlga_zniewaga_13:zniewaga_14|Enough is enough! I'm gonna knock some sense into you!
dlga_zniewaga_14:close_window|Have at you!
dlga_start:close_window.7|I will be waiting for you... try to make sure, you don't give me an unwelcome surprise.
"dlga_start:close_window.8|I will be on the lookout for you, ", but it's time you left. Go with God.
dlga_start:3zdrajcy_1|Eh? What?
"dlga_3zdrajcy_1:close_window|You, sir, are under arrest! Guards! To me!", 
dlga_event_triggered:qemisar1|Oof, "close call, ", if we were less lucky we'd have been tortured tomorrow. Thank you for your warning and aid in my escape, sir.
dlga_qemisar1:close_window|We must part here, there is little point for me to return to {s20}, so I shall set out to the east and try to rouse the people there. Farewell.
dlga_start:qemis2|Who are you?! What the hell are you looking for?
"dlga_qemis2:qemis3|You better be quiet sir, lest you want to wake everyone up in this establishment. Ignac Martinovics sent me.", mam was zabrać stąd czym prędzej.
dlga_qemis3:close_window|You've scared me there! If so, there is no time to waste. Let's go.
dlga_start:execution_save55|You are free.
dlga_execution_save55:close_window|Dear god! Who are you?!
dlga_start:execution_save|Thank you once again, step aside however, milord, or you will bring misfortune on yourself and us. Too many people have seen us.
dlga_start:execution_save.1|Thank god! To whom do we owe our lives?
dlga_execution_save:execution_save2|I am {playername}.^, 
dlga_execution_save2:close_window|Thank you, {playername}. We shall remain your debtors.
dlga_start:execution_quest|One of the convicts is innocent.
"dlga_execution_quest:execution_quest2|Innocent?! Even I am not without guilt, ", and this blackguard, who raised his hand on a soldier, certainly isn't! A lieutenant in the service of Tsar himself, to boot!
dlga_execution_quest2:execution_quest3|He deserves it, as the devil himself. He'll die right here and now, that's it!
dlga_execution_quest3:execution_quest4|I insist you let him go. I'm even ready to make some necessary expenses...
dlga_execution_quest4:execution_quest5|Trying to bribe a Tsar's officer, are you?! What a rascal! Dear lord, where do such people come from?
dlga_execution_quest5:execution_quest6|I ought to put you right next to those here, but know, that my heart is soft, and my pay far from generous.
dlga_execution_quest6:execution_quest7|You will give me 700 zlotys for the life of that villain and the both of you will get the hell out of here.
dlga_execution_quest7:close_window|Pleasure doing business with you, sir.
dlga_execution_quest7:execution_quest8|700?! You must be out of your mind, it's a fortune!
dlga_execution_quest8:execution_quest9|Goodness gracious! Bartering for the life of a comrade!
dlga_execution_quest9:close_window|The agreement is null and void.Get him!
dlga_start:execution_interfere|What do you want?! Stand back or you will join those traitors!
dlga_start:execution_interfere.1|We're dealing out justice here, what are you looking for here?
dlga_execution_interfere:execution_interfere_attack|I demand you free these men.
dlga_execution_interfere_attack:close_window|You have chosen your fate, then. Get him!
dlga_execution_interfere:close_window|[Leave], 
dlga_start:karczma_szlachta|{s20}, 
dlga_karczma_szlachta:karczma_szlachta_polityka|Anything new in politics?
dlga_karczma_szlachta_polityka:karczma_szlachta|Ah, go to hell.
dlga_karczma_szlachta:karczma_szlachta_plotka|Any rumors to be heard on the roads and in taverns?
dlga_karczma_szlachta_plotka:karczma_szlachta|Nothing in particular.
dlga_karczma_szlachta:karczma_szlachta_bye|Nothing, goodbye.
dlga_karczma_szlachta_bye:close_window|{s20}, 
dlga_start:karczma_kupcy|{s20}, 
dlga_karczma_kupcy:karczma_kupcy_bye|Goodbye.
dlga_karczma_kupcy_bye:close_window|{s20}, 
dlga_start:karczma_chlopi|{s20}, 
dlga_karczma_chlopi:karczma_chlopi_plotka|What are people talking about lately?
dlga_karczma_chlopi_plotka:karczma_chlopi|Nothing.
dlga_karczma_chlopi:karczma_chlopi_bye|Nothing, goodbye.
dlga_karczma_chlopi_bye:close_window|Goodbye.
dlga_event_triggered:close_window.1|fafffffffffffff, 
"dlga_start:kosciuszko_3etapend|Hello, {s20}! I must admit you", have done a splendid job carrying out the orders. Your role in the fight and your dedication will not go in vain. For your services, I would like to reward you with a promotion. You are now {s68}.
dlga_start:kosciuszko_3etapend.1|Good day, {s68} I've been awaiting your arrival.
dlga_kosciuszko_3etapend:kosciuszko_3etapend3|As you probably know, the war will soon begin. Neither the Prussian King, nor Empess Catherine are willing to negotiate. The loss of rulership in the Commonwealth would have been a hit to the authority of monarchy and lead to internal conflicts. As such we can be certain, they will use all forces at their disposal, to kill our independence.
dlga_kosciuszko_3etapend3:kosciuszko_3etapend4|Regarding Habsburgs, they are busy fighting the revolt in Hungary and the war against the revolutionary France, to such a degree that, we need not worry about them. We have emissaries in both Hungary and even Vienna, however, and if this was to change we are certainly going to learn of that earlier.
dlga_kosciuszko_3etapend3:kosciuszko_3etapend4.1|Regarding Habsburgs, we should anticipate the attack from that side as well. As the emissaries report, their forces are limited, by the revolt in Hungary and the war against the revolutionary France. Nonetheless, we must remain prepared.
dlga_kosciuszko_3etapend4:close_window|Therefore, we need to take decisive actions. You, along with your regiment, will support our troops in particularly endangered areas. You will also take care of sabotage in the lands under enemy control. These lands were taken from us illegally. You may count on the support of the people there.
dlga_start:qstregiment_a|I report, that, {playername}. We shall remain your debtors.
dlga_qstregiment_a:close_window|Excellent, lieutenant. Report in as soon as you're ready to take further orders.
dlga_start:kosciuszko_onquest|{s68}, what do you have to report?
"dlga_kosciuszko_onquest:close_window|I have captured Ensign Swistacki and, as per order", I bring him to you, General.
dlga_kosciuszko_onquest:kosciuszko_onquest2|I am currently carrying out the orders.
dlga_kosciuszko_onquest2:close_window|Splendid. I will be awaiting news of your progress.
dlga_start:close_window.9|fafffffffffffff, 
dlga_start:werbownik_first_meet|Greetings, I'm {playername}. I come on the orders of the Chief.aby odebrać powierzony mi regiment.
"dlga_werbownik_first_meet:werbownik_first_meet2|Welcome, ", so you are the crafty young man, who was Kosciuszko's emissary to Hungary? Congratulations on your heretofore victories and the promotion.
dlga_werbownik_first_meet2:close_window|The regiment is ready to march out at any time. If you need anything else, you know where to find me.
"dlga_start:werbownik_p|Hello, {s68}", what do you need?
dlga_werbownik_p:close_window|I'm here about the regiment.
dlga_werbownik_p:close_window.1|Nevermind, goodbye.
dlga_start:kochanka|{s20}, 
dlga_kochanka:close_window|You know the best.
dlga_kochanka:kochanka_wyzwanie|Do you have any challenges for me?
dlga_kochanka_wyzwanie:kochanka|It is said, that the best swordsman in the Commonwealth, "and who knows, perhaps the entirety of Europe, is {s20}. Allegedly, he's a lazy drunkard", How could someone like this be so famed?^ If you want to make me proud of you, fight him, may the people say, at least briefly, that you are the finest swordsman in the Commonwealth!
dlga_kochanka_wyzwanie:kochanka.1|win 3 sabre duels, 
dlga_kochanka_wyzwanie:kochanka.2|win 3 pistol duels, 
dlga_kochanka_wyzwanie:kochanka.3|No, I don't.
dlga_kochanka:kochanka_pozyczka|I need some money.
dlga_kochanka_pozyczka:kochanka|So be it, that's all I have.
dlga_kochanka_pozyczka:kochanka_pozyczka2|I gave you money, no further than a couple days ago, I don't have any anymore.
dlga_kochanka_pozyczka2:kochanka_pozyczka_make|I really need them.
dlga_kochanka_pozyczka_make:kochanka|So be it, that's all I have.
dlga_kochanka_pozyczka_make:kochanka.1|I cannot, for now.
dlga_kochanka_pozyczka2:kochanka|[Give up], 
dlga_kochanka:kochanka_zakoncz|I would like to end our relationship.
dlga_kochanka_zakoncz:kochanka_zakoncz_|Excuse me? Are you unwell, {playername}?
dlga_kochanka_zakoncz_:kochanka_zakoncz_1|No, I feel weak, call the barber please.
dlga_kochanka_zakoncz_1:close_window|After all of this? Over? You would treat me so? You're gonna, regret it, now get out of here.I don't want to see you anymore.
dlga_kochanka_zakoncz_:kochanka_zakoncz_1.1|Yes.It's over.
dlga_kochanka_zakoncz_:kochanka_zakoncz_3|I doubt it, goodbye my dear.
dlga_kochanka_zakoncz_3:close_window|Farewell and be safe.
dlga_kochanka:kochanka_bye|Well, time for me to go.
dlga_kochanka_bye:close_window|{s20}, 
dlga_start:handlarz|{s20}, {s21}
dlga_handlarz:handlarz_zakup|Show me your wares.
dlga_handlarz:handlarz_bye|Nothing, goodbye.
dlga_handlarz_zakup:handlarz|do uzupełnienia, 
dlga_handlarz_bye:close_window|{s20}, 
dlga_start:qsyn_finish|{s20}, 
dlga_qsyn_finish:qsyn_finish4|I've talked to your son, he's young, but he has a great spirit and the ability to serve the homeland greatly. Give him your blessing and pray for him and the Commonwealth.
dlga_qsyn_finish:qsyn_finish3|I'm sorry, but I did not manage to persuade him out of his plans.
dlga_qsyn_finish:qsyn_finish2|I've manage to persuade you son, at least so as to, consider staying home...
dlga_qsyn_finish:qsyn_finish1|I've succeeded, the son will remain home.
dlga_qsyn_finish4:close_window|{s20}, 
dlga_qsyn_finish3:close_window|Oh, damn you, I knew it would end like that... that rascal is a real pain. Farewell.
dlga_qsyn_finish2:close_window|This will do, here's the half of the money. That's how much you earned.
dlga_qsyn_finish1:close_window|Truly?! How have you done it? Ah, nevermind. I wholeheartedly thank you! Take this purse, five hundred, no less. May they serve you well.
dlga_start:qsyn_talk|{s20}, 
dlga_qsyn_talk:qsyn_talk2|Your father sent me.
dlga_qsyn_talk2:qsyn_talk3|{s20}, 
dlga_qsyn_talk3:qsyn_talk_convince|All my friends are joining the volunteer companies, infantry and cavalry, one even joined the artillery... and me? I'm supposed to stay at home with old ladies?
dlga_qsyn_talk_convince:qsyn_talk_convince_1|You are right, but so are your father's worries.
dlga_qsyn_talk_convince_1:qsyn_talk_convince_1_1|Your father's worries are justified - what will he do if you don't return, "or return a cripple? They need you, boy. It will be hard for them to survive in the uncertain times..."
dlga_qsyn_talk_convince_1_1:qsyn_end|Well, you have a point... tell my father that I will stay, at least until summer, maybe longer.
dlga_qsyn_talk_convince_1_1:qsyn_end.1|Hmm... you have a point. But I cannot resign now, I've signed everything already. Tell father, however, that I'll think of it. I'm not saying I will stay, but I have to think about it. Now go.
dlga_qsyn_talk_convince_1_1:qsyn_end.2|Really? I'm sorry, but I cannot resign now...
dlga_qsyn_talk_convince:qsyn_talk_convince_2|I've seen war many times.
dlga_qsyn_talk_convince_2:qsyn_talk_tell|I've seen war many times, barely made it alive from many a battle, often victorious, but I know how many people lost their lives. So don't be surprised that your father wants to keep you by his side. Death on the battlefield comes easily, believe me, especially since I'm a man experienced in these matters. You've likely heard of me many times...
dlga_qsyn_talk_tell:qsyn_end_2|Indeed, I've heard many times of your victories, as a matter of fact...
dlga_qsyn_talk_tell:close_window|Eh? Who are you that I should have heard about? Please.
dlga_qsyn_talk_convince:qsyn_talk_convince_3|You are in the right.
dlga_qsyn_talk_convince_3:close_window|Finally, a reasonable man! Now go back to my father and tell him that.
dlga_qsyn_end:qsyn_endd|Well, if you said so, I'll be off then.
dlga_qsyn_end:qsyn_endd.1|So be it, I rest my case, however consider it well in your conscience.
dlga_qsyn_end:qsyn_endd.2|I knew you are a reasonable man. Believe me, it's better that way.
dlga_qsyn_endd:close_window|Right, and tell him not to sent anyone anymore... I'm tired of their persuasions, bribery and misguided argumentations.
dlga_qsyn_endd:close_window.1|I will certainly do so - and relay that to my father.
dlga_qsyn_endd:close_window.2|Better not, especially for the Fatherland... but as you said, "I must stay and defend the family. Relay the news to my father, please.", 
dlga_qsyn_end_2:close_window|The tales don't measure up to reality, I see.
dlga_qsyn_end_2:close_window.1|Tell them, I will consider staying home, but that's all I can promise.
dlga_qsyn_end_2:close_window.2|Tell my father that, for now, I will stay, and we'll see what future brings later.
dlga_start:close_window.10|I am busy right now, goodbye.
dlga_start:close_window.11|Eh, you again? Don't bore me.
dlga_start:close_window.12|Leave, would you kindly?
dlga_uciekinier_1:uciekinier_ask_karczmarz|I am looking for a certain Ensign Swistacki, would you happen to have welcomed such a person here? He's a man of large frame, built like brick shithouse. I wanted to have a drink with an old companion, and I cannot find him now...
dlga_uciekinier_ask_karczmarz:uciekinier_ask_karczmarz2|Ensign Swistacki? Hmm, I've heard something, but for the life of me I cannot remember now... you see, I just cook food and wash the tankards every Saint Vitus, what could I have seen here?
dlga_uciekinier_ask_karczmarz2:uciekinier_ask|Perhaps this will refresh your memories. (5 zloty), 
dlga_uciekinier_ask_karczmarz2:close_window|I will come back later then.
dlga_uciekinier_ask:uciekinier_info|Hmm... indeed, I think I'm starting to remember!
dlga_uciekinier_info:uciekinier_info_bye|I've seen such a man, he was travelling along the road to {s21}. Pretty recently, when I was opening the tavern, if you set out now, you will catch up with him.
dlga_uciekinier_info:uciekinier_info_bye.1|I've seen such a man, he was here {reg21} days ago and departed towards {s21}. I don't know anymore about him, or his destination for that matter.
dlga_uciekinier_info:uciekinier_info_bye.2|No, that was not the man. He was short and thin and didn't seem like an ensign at all, more like a deserter, and we have more than enough of these lowlifes. So no, your friend was not here. Anything I should tell him if he shows up?
dlga_uciekinier_info_bye:close_window|That's my companion! I'll catch up with him on the road, farewell.
dlga_uciekinier_info_bye:close_window.1|Then I shall continue to look for him, farewell.
dlga_uciekinier_info_bye:close_window.2|No, and certainly don't mention, that I've been looking for him. I want it to be a surprise.
dlga_start:uciekinier_karczma_1|They serve excellent drinks in this here establishment, would you like to have one?
dlga_start:close_window.13|I surrender, I am your prisoner.
dlga_uciekinier_karczma_pojedynek:close_window|Agreed, let's fight.
dlga_uciekinier_karczma_pojedynek2:close_window|Let us begin.
dlga_uciekinier_karczma_1:close_window|Gladly.
